Contents	Opinion
"Alright guys, juul break!" Thanks, Mom!!	0
Doing hookah alone makes me a crackhead?	0
@bootyfinesserv3 Hookah is legit banned in this country I don’t even know how they do it lol	1
I need to go get coals for my hookah. 😩 I ran out!	0
Castro exempted vaping from the HUD smoking ban, for which I am grateful.	1
Luschek stops in to talk to Gloria and sneak a few hits from his vape. She reminds him that his selfishness and apathy directly added to her sentence and cost Doggett her life. #OrangeIsTheNewBlack #OrangeForever	0
I haven’t consumed alcohol or hookah in almost 3 days 🙄🙄🙄🙄 this ain’t it	1
Mom and pop vape shop: Family Juuls.	0
@mikemcgowow Yeah having a partner in that shit is wicked helpful. I’ll just keep rage throwing my juul into a dumpster until it works	0
I need my own hookah.	1
@dannycarlson02 protect my right to juul	1
going have me a drink and puff me some hookah	0
He put Essentia in the hookah 😂 is that’s not love I don’t know what is	0
new vape 😁😍😋	1
yang better hit a fuckin vape on stage I swear to got	0
@_paigesmith13 you act like im not gonna pass my juul down through the generations...	0
@chasssjanine I haven’t bought my vape yet though :/	0
Vape rig that looks like an AirPod case™	0
QT @BFBIV: update: I found it outside, cleaned her up now shes good as new. 👍🏼 ; cant find my juul, panic attack ahead	0
Can somebody send a juul to Mexico please	0
Broke my phone so I have to go get a new one, popped my tire, lost my vape in a field, lost my charger, cut my body all up because I fell on a rock, called many people I shouldn’t have, lost my clothes.. all last night. Don’t drink	0
@AlanciaLynette Dawghouse I bet, some at the hookah lounge too?	0
@mattPFV Vape Nation Man	1
QT @Sizzilin_Stew: This is what they’ve been waiting for ; Boys Daddy is OFF the JuuL and onto the cigarettes	0
some of you have never experienced getting anxiety ab asking if u can hit ur friends juul and its SHOWS.	0
@BretWeinstein You mean vaping Roundup is bad for me? Thanks California!	0
@jordaanblok I'm the discreet juul (What top are you wearing?)	0
QT @CDCTobaccoFree: Totally get the campaign against combustible and chewable tobacco but vape has been a good middle ground for recovering smokers. That kids use them is an issue of poor parenting. ; E-cigarettes contain nicotine, which can impact learning and memory. Learn the health risks for your young patients.	1
Forever losing my juul wow	0
imagine not being able to go 5 min without ripping a juul and spending mad money on pods ,,,, couldn’t be me sis 🤧	0
I can’t tell if I’m still in Brooklyn ... I’m walking up franklin and niggas smoking hookah on the corner	0
QT @elfishh: 1. Vape 2. World of Rocks punch card 3. Perfume/cologne samples 4. Aveeno unscented lotion 5. OG Hot Topic “friends with benefit” card ; new personality quiz: describe yourself using 5 things that are probably in your purse/backpack/whatever at any given moment	0
went to hit my vape but instead it was my water bottle so now i’m drowning and stupid	1
@philterlabs @WeedFeed @TheWeedTube1 A lot of effort to hide the Smell . Vape pens almost no Oder	0
@NewsBreaking 'The woman’s boyfriend told investigators she used a marijuana vaping pen and had been to the ER three weeks before she died because of a chest infection.' So really it was a combo of tainted GMO type vape juice/or pen and her chest infection.	0
@castello2 @SuckMyMod @featherbear15 Before vaping was banned in my building though, I thought the ban was silly. I started reading because of that and changed my mind. Still willing to read, but it's hard for me to dismiss the sources I already mentioned.	-1
i lost my fucking juul, my nail is messed up, its hot, AND im broke as fuck now so happy friday to me lol	0
I think I lost my juul and i’m upset	0
@Simonee_99 ian never smokin on hookah again	-1
@tripndie me every time i juul	0
guys im coming at u with very sad news. i lost my jesus juul yesterday and i wanted everyone to know i will be mourning for a while. would appreciate some time to heal. thank u have a blessed day	0
When are they gonna come out with a juul emoji tho	0
update: I figured out how to get my vape mixture 2:1 cbd to juice ratio, now I’m exxxtra chill	1
I wanna b as passionate about something like people that stay up to date on the latest vape tech and shit	0
Fuck a juul Im purchasing a vape lol	1
Sex is great and all but have y’all ever hit a juul pod when you’re not used to high nicotine 👀	1
I want to go to the hookah bar	0
